"NUMEROPT","CARACTERISTICA"
"10086/2020","Esmerilhadeira e Lixadeira"
"10091/2020","Andaime - Pré-Montagem/Desmontagem"
"10102/2020","Hidrojateamento"
"10102/2020","Noturno"
"10104/2020","Tratamento Mecânico e Pintura"
"10117/2020","Andaime - Pós-Montagem/Utilização"
"10130/2020","Teste Hidrostático"
"10131/2020","Andaime - Pré-Montagem/Desmontagem"
"10147/2020","Pressurizado"
"10158/2020","Sobre o Mar"
"10158/2020","Esmerilhadeira e Lixadeira"
"10171/2020","Pressurizado"
"10186/2020","Hidrojateamento"
"10188/2020","Tratamento Mecânico e Pintura"
"10192/2020","Andaime - Pré-Montagem/Desmontagem"
"10196/2020","Risco de Perda de Produção"
"10210/2020","Parafusadeira e Torqueadeira"
"10215/2020","Pressurizado"
"10216/2020","Elétrico"
"10219/2020","Pressurizado"
"10226/2020","Andaime - Pré-Montagem/Desmontagem"
"10233/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"10235/2020","Chama Aberta"
"10236/2020","Andaime - Pré-Montagem/Desmontagem"
"10242/2020","Tratamento manual e pintura"
"10249/2020","Pressurizado"
"10252/2020","Esmerilhadeira e Lixadeira"
"10254/2020","Pressurizado"
"10256/2020","Chama Aberta"
"10269/2020","Parafusadeira e Torqueadeira"
"10270/2020","Espaço Confinado"
"10272/2020","Pressurizado"
"10273/2020","Tratamento manual e pintura"
"10285/2020","Altura - Acesso por Cordas"
"10295/2020","Andaime - Pós-Montagem/Utilização"
"10297/2020","Andaime - Pré-Montagem/Desmontagem"
"10308/2020","Andaime - Pós-Montagem/Utilização"
"10311/2020","Serviço Crítico"
"10333/2020","Andaime - Pré-Montagem/Desmontagem"
"10336/2020","Andaime - Pós-Montagem/Utilização"
"10340/2020","Sobre o Mar"
"10343/2020","Acesso e trabalho em casas de bombas"
"10346/2020","Esmerilhadeira e Lixadeira"
"10349/2020","Sobre o Mar"
"10356/2020","Tratamento Mecânico e Pintura"
"10359/2020","Serviço Crítico"
"10374/2020","Tratamento Mecânico e Pintura"
"10375/2020","Tratamento Mecânico e Pintura"
"10377/2020","Andaime - Pós-Montagem/Utilização"
"10387/2020","Esmerilhadeira e Lixadeira"
"10394/2020","Movimentação de Carga"
"10414/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"10414/2020","Parafusadeira e Torqueadeira"
"10429/2020","Andaime - Pós-Montagem/Utilização"
"10439/2020","Chama Aberta"
"10439/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"10442/2020","Espaço Confinado"
"10453/2020","Tratamento Mecânico e Pintura"
"10465/2020","Esmerilhadeira e Lixadeira"
"10474/2020","Chama Aberta"
"10482/2020","Elétrico"
"10486/2020","Hidrojateamento"
"10486/2020","Noturno"
"17/2020","Risco de Perda de Produção"
"28/2020","Altura - Acesso por Cordas"
"50/2020","Chama Aberta"
"50/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"72/2020","Pressurizado"
"78/2020","Pressurizado"
"79/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"87/2020","Chama Aberta"
"88/2020","Chama Aberta"
"88/2020","Andaime - Pós-Montagem/Utilização"
"96/2020","Altura - Acesso por Cordas"
"98/2020","Pressurizado"
"99/2020","Elétrico"
"116/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"127/2020","Pressurizado"
"138/2020","Sobre o Mar"
"139/2020","Altura - Acesso por Cordas"
"146/2020","Elétrico"
"164/2020","Altura - Acesso por Cordas"
"169/2020","Andaime - Pré-Montagem/Desmontagem"
"173/2020","Espaço Confinado"
"179/2020","Elétrico"
"184/2020","Pressurizado"
"187/2020","Serviço Crítico"
"187/2020","Teste Hidrostático"
"203/2020","Andaime - Pré-Montagem/Desmontagem"
"226/2020","Tratamento Mecânico e Pintura"
"236/2020","Andaime - Pós-Montagem/Utilização"
"239/2020","Andaime - Pré-Montagem/Desmontagem"
"244/2020","Chama Aberta"
"244/2020","Altura - Acesso por Cordas"
"248/2020","Pressurizado"
"250/2020","Chama Aberta"
"267/2020","Altura - Acesso por Cordas"
"276/2020","Elétrico"
"294/2020","Altura - Acesso por Cordas"
"295/2020","Elétrico"
"299/2020","Andaime - Pré-Montagem/Desmontagem"
"326/2020","Espaço Confinado"
"326/2020","Chama Aberta"
"381/2020","Andaime - Pré-Montagem/Desmontagem"
"384/2020","Pressurizado"
"389/2020","Sobre o Mar"
"408/2020","Espaço Confinado"
"461/2020","Tratamento Mecânico e Pintura"
"466/2020","Altura - Acesso por Cordas"
"478/2020","Tratamento Mecânico e Pintura"
"481/2020","Tratamento Mecânico e Pintura"
"486/2020","Pressurizado"
"486/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"492/2020","Andaime - Pré-Montagem/Desmontagem"
"497/2020","Serviço Crítico"
"502/2020","Espaço Confinado"
"508/2020","Pressurizado"
"510/2020","Andaime - Pré-Montagem/Desmontagem"
"512/2020","Pressurizado"
"523/2020","Pressurizado"
"529/2020","Altura - Acesso por Cordas"
"530/2020","Espaço Confinado"
"533/2020","Elétrico"
"533/2020","Altura - Acesso por Cordas"
"535/2020","Elétrico"
"545/2020","Pressurizado"
"547/2020","Tratamento Mecânico e Pintura"
"551/2020","Andaime - Pré-Montagem/Desmontagem"
"556/2020","Elétrico"
"563/2020","Pressurizado"
"570/2020","Altura - Acesso por Cordas"
"581/2020","Andaime - Pré-Montagem/Desmontagem"
"593/2020","Elétrico"
"599/2020","Elétrico"
"605/2020","Altura - Acesso por Cordas"
"617/2020","Espaço Confinado"
"651/2020","Tratamento manual e pintura"
"654/2020","Pressurizado"
"675/2020","Pressurizado"
"706/2020","Espaço Confinado"
"722/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"750/2020","Espaço Confinado"
"756/2020","Serviço Crítico"
"771/2020","Pressurizado"
"796/2020","Pressurizado"
"801/2020","Andaime - Pré-Montagem/Desmontagem"
"804/2020","Espaço Confinado"
"812/2020","Chama Aberta"
"821/2020","Andaime - Pré-Montagem/Desmontagem"
"822/2020","Altura - Acesso por Cordas"
"840/2020","Pressurizado"
"840/2020","Andaime - Pós-Montagem/Utilização"
"843/2020","Pressurizado"
"854/2020","Tratamento Mecânico e Pintura"
"858/2020","Altura - Acesso por Cordas"
"864/2020","Espaço Confinado"
"865/2020","Chama Aberta"
"868/2020","Inibição em funções de Controle e Segurança"
"870/2020","Altura - Acesso por Cordas"
"882/2020","Elétrico"
"899/2020","Tratamento Mecânico e Pintura"
"905/2020","Tratamento Mecânico e Pintura"
"908/2020","Pressurizado"
"924/2020","Andaime - Pré-Montagem/Desmontagem"
"933/2020","Sobre o Mar"
"936/2020","Andaime - Pré-Montagem/Desmontagem"
"940/2020","Tratamento Mecânico e Pintura"
"964/2020","Andaime - Pré-Montagem/Desmontagem"
"988/2020","Pressurizado"
"996/2020","Pressurizado"
"1023/2020","Espaço Confinado"
"1042/2020","Chama Aberta"
"1052/2020","Pressurizado"
"1084/2020","Altura - Acesso por Cordas"
"1101/2020","Chama Aberta"
"1104/2020","Chama Aberta"
"1109/2020","Chama Aberta"
"1113/2020","Pressurizado"
"1114/2020","Andaime - Pré-Montagem/Desmontagem"
"1118/2020","Chama Aberta"
"1119/2020","Andaime - Pré-Montagem/Desmontagem"
"1131/2020","Pressurizado"
"1146/2020","Hidrojateamento"
"1148/2020","Pressurizado"
"1151/2020","Pressurizado"
"1156/2020","Elétrico"
"1184/2020","Andaime - Pós-Montagem/Utilização"
"1199/2020","Pressurizado"
"1207/2020","Andaime - Pré-Montagem/Desmontagem"
"1209/2020","Andaime - Pré-Montagem/Desmontagem"
"1248/2020","Altura - Acesso por Cordas"
"1249/2020","Andaime - Pós-Montagem/Utilização"
"1249/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"1257/2020","Pressurizado"
"1258/2020","Pressurizado"
"1265/2020","Elétrico"
"1277/2020","Elétrico"
"1293/2020","Sobre o Mar"
"1299/2020","Altura - Acesso por Cordas"
"1300/2020","Sobre o Mar"
"1305/2020","Tratamento manual e pintura"
"1308/2020","Hidrojateamento"
"1324/2020","Altura - Acesso por Cordas"
"1342/2020","Hidrojateamento"
"1370/2020","Altura - Acesso por Cordas"
"1383/2020","Elétrico"
"1386/2020","Espaço Confinado"
"1386/2020","Tratamento Mecânico e Pintura"
"1392/2020","Altura - Acesso por Cordas"
"1393/2020","Tratamento Mecânico e Pintura"
"1399/2020","Espaço Confinado"
"1401/2020","Altura - Acesso por Cordas"
"1433/2020","Andaime - Pré-Montagem/Desmontagem"
"1438/2020","Tratamento manual e pintura"
"1454/2020","Chama Aberta"
"1460/2020","Elétrico"
"1480/2020","Pressurizado"
"1495/2020","Chama Aberta"
"1507/2020","Andaime - Pré-Montagem/Desmontagem"
"1518/2020","Andaime - Pré-Montagem/Desmontagem"
"1525/2020","Serviço Crítico"
"1543/2020","Andaime - Pós-Montagem/Utilização"
"1552/2020","Pressurizado"
"1561/2020","Pressurizado"
"1566/2020","Elétrico"
"1578/2020","Espaço Confinado"
"1585/2020","Pressurizado"
"1589/2020","Tratamento Mecânico e Pintura"
"1602/2020","Andaime - Pré-Montagem/Desmontagem"
"1605/2020","Altura - Acesso por Cordas"
"1625/2020","Chama Aberta"
"1630/2020","Altura - Acesso por Cordas"
"1637/2020","Pressurizado"
"1659/2020","Elétrico"
"1660/2020","Andaime - Pós-Montagem/Utilização"
"1688/2020","Andaime - Pré-Montagem/Desmontagem"
"1698/2020","Elétrico"
"1712/2020","Tratamento Mecânico e Pintura"
"1733/2020","Tratamento Mecânico e Pintura"
"1734/2020","Altura - Acesso por Cordas"
"1744/2020","Andaime - Pré-Montagem/Desmontagem"
"1771/2020","Elétrico"
"1783/2020","Elétrico"
"1791/2020","Pressurizado"
"1796/2020","Hidrojateamento"
"1848/2020","Elétrico"
"1850/2020","Serviço Crítico"
"1862/2020","Tratamento Mecânico e Pintura"
"1863/2020","Elétrico"
"1867/2020","Altura - Acesso por Cordas"
"1872/2020","Altura - Acesso por Cordas"
"1885/2020","Chama Aberta"
"1895/2020","Sobre o Mar"
"1902/2020","Tratamento Mecânico e Pintura"
"1906/2020","Risco de Perda de Produção"
"1907/2020","Tratamento Mecânico e Pintura"
"1911/2020","Andaime - Pré-Montagem/Desmontagem"
"1912/2020","Pressurizado"
"1917/2020","Chama Aberta"
"1947/2020","Tratamento Mecânico e Pintura"
"1980/2020","Pressurizado"
"2002/2020","Elétrico"
"2005/2020","Pressurizado"
"2013/2020","Tratamento Mecânico e Pintura"
"2017/2020","Pressurizado"
"2019/2020","Chama Aberta"
"2027/2020","Andaime - Pré-Montagem/Desmontagem"
"2044/2020","Sobre o Mar"
"2051/2020","Chama Aberta"
"2061/2020","Elétrico"
"2067/2020","Elétrico"
"2073/2020","Andaime - Pré-Montagem/Desmontagem"
"2088/2020","Andaime - Pós-Montagem/Utilização"
"2095/2020","Andaime - Pré-Montagem/Desmontagem"
"2103/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"2114/2020","Hidrojateamento"
"2123/2020","Elétrico"
"2135/2020","Andaime - Pré-Montagem/Desmontagem"
"2138/2020","Risco de Perda de Produção"
"2153/2020","Elétrico"
"2161/2020","Altura - Acesso por Cordas"
"2186/2020","Elétrico"
"2192/2020","Tratamento manual e pintura"
"2209/2020","Pressurizado"
"2213/2020","Elétrico"
"2217/2020","Pressurizado"
"2222/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"2223/2020","Pressurizado"
"2234/2020","Hidrojateamento"
"2243/2020","Andaime - Pré-Montagem/Desmontagem"
"2246/2020","Tratamento Mecânico e Pintura"
"2252/2020","Pressurizado"
"2253/2020","Elétrico"
"2255/2020","Serviço Crítico"
"2279/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"2284/2020","Inibição em funções de Controle e Segurança"
"2301/2020","Serviço Crítico"
"2301/2020","Noturno"
"2305/2020","Hidrojateamento"
"2309/2020","Elétrico"
"2329/2020","Andaime - Pré-Montagem/Desmontagem"
"2337/2020","Pressurizado"
"2372/2020","Tratamento Mecânico e Pintura"
"2375/2020","Andaime - Pré-Montagem/Desmontagem"
"2377/2020","Chama Aberta"
"2382/2020","Elétrico"
"2383/2020","Tratamento manual e pintura"
"2385/2020","Andaime - Pré-Montagem/Desmontagem"
"2390/2020","Pressurizado"
"2393/2020","Pressurizado"
"2397/2020","Pressurizado"
"2400/2020","Elétrico"
"2408/2020","Tratamento Mecânico e Pintura"
"2419/2020","Elétrico"
"2431/2020","Elétrico"
"2432/2020","Elétrico"
"2455/2020","Andaime - Pós-Montagem/Utilização"
"2458/2020","Andaime - Pós-Montagem/Utilização"
"2459/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"2480/2020","Andaime - Pós-Montagem/Utilização"
"2481/2020","Chama Aberta"
"2486/2020","Elétrico"
"2509/2020","Inibição em funções de Controle e Segurança"
"2536/2020","Pressurizado"
"2541/2020","Andaime - Pré-Montagem/Desmontagem"
"2542/2020","Tratamento Mecânico e Pintura"
"2547/2020","Elétrico"
"2563/2020","Elétrico"
"2568/2020","Andaime - Pós-Montagem/Utilização"
"2570/2020","Pressurizado"
"2583/2020","Intervenção Automação - PLC"
"2610/2020","Sobre o Mar"
"2661/2020","Pressurizado"
"2664/2020","Pressurizado"
"2684/2020","Andaime - Pré-Montagem/Desmontagem"
"2685/2020","Andaime - Pré-Montagem/Desmontagem"
"2694/2020","Risco de Perda de Produção"
"2720/2020","Uso de Marreta"
"2738/2020","Tratamento manual e pintura"
"2756/2020","Pressurizado"
"2771/2020","Andaime - Pré-Montagem/Desmontagem"
"2776/2020","Intervenção Automação - PLC"
"2782/2020","Elétrico"
"2784/2020","Elétrico"
"2790/2020","Andaime - Pré-Montagem/Desmontagem"
"2797/2020","Pressurizado"
"2799/2020","Pressurizado"
"2800/2020","Pressurizado"
"2812/2020","Altura - Acesso por Cordas"
"2828/2020","Pressurizado"
"2828/2020","Inibição em funções de Controle e Segurança"
"2852/2020","Andaime - Pós-Montagem/Utilização"
"2862/2020","Elétrico"
"2867/2020","Andaime - Pré-Montagem/Desmontagem"
"2874/2020","Sobre o Mar"
"2908/2020","Altura - Acesso por Cordas"
"2911/2020","Pressurizado"
"2915/2020","Andaime - Pós-Montagem/Utilização"
"2933/2020","Uso de Marreta"
"2937/2020","Chama Aberta"
"2960/2020","Tratamento Mecânico e Pintura"
"2962/2020","Tratamento manual e pintura"
"2975/2020","Altura - Acesso por Cordas"
"2978/2020","Andaime - Pós-Montagem/Utilização"
"2981/2020","Pressurizado"
"2988/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"2994/2020","Risco de Perda de Produção"
"3035/2020","Chama Aberta"
"3050/2020","Altura - Acesso por Cordas"
"3053/2020","Inibição em funções de Controle e Segurança"
"3055/2020","Elétrico"
"3057/2020","Tratamento Mecânico e Pintura"
"3079/2020","Pressurizado"
"3079/2020","Andaime - Pós-Montagem/Utilização"
"3081/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3116/2020","Chama Aberta"
"3118/2020","Tratamento Mecânico e Pintura"
"3139/2020","Elétrico"
"3166/2020","Inibição em funções de Controle e Segurança"
"3170/2020","Pressurizado"
"3198/2020","Andaime - Pós-Montagem/Utilização"
"3200/2020","Andaime - Pré-Montagem/Desmontagem"
"3207/2020","Pressurizado"
"3209/2020","Pressurizado"
"3230/2020","Elétrico"
"3240/2020","Andaime - Pré-Montagem/Desmontagem"
"3257/2020","Chama Aberta"
"3283/2020","Andaime - Pré-Montagem/Desmontagem"
"3303/2020","Pressurizado"
"3330/2020","Pressurizado"
"3340/2020","Altura - Acesso por Cordas"
"3354/2020","Risco de Perda de Produção"
"3364/2020","Serviço Crítico"
"3366/2020","Andaime - Pré-Montagem/Desmontagem"
"3369/2020","Andaime - Pós-Montagem/Utilização"
"3373/2020","Andaime - Pós-Montagem/Utilização"
"3375/2020","Pressurizado"
"3381/2020","Tratamento Mecânico e Pintura"
"3414/2020","Andaime - Pré-Montagem/Desmontagem"
"3418/2020","Andaime - Pós-Montagem/Utilização"
"3419/2020","Altura - Acesso por Cordas"
"3422/2020","Tratamento manual e pintura"
"3424/2020","Elétrico"
"3427/2020","Tratamento Mecânico e Pintura"
"3440/2020","Andaime - Pré-Montagem/Desmontagem"
"3458/2020","Pressurizado"
"3459/2020","Pressurizado"
"3468/2020","Pressurizado"
"3491/2020","Tratamento manual e pintura"
"3499/2020","Uso de Marreta"
"3517/2020","Risco de Perda de Produção"
"3519/2020","Inibição em funções de Controle e Segurança"
"3523/2020","Elétrico"
"3530/2020","Chama Aberta"
"3542/2020","Pressurizado"
"3552/2020","Pressurizado"
"3559/2020","Andaime - Pós-Montagem/Utilização"
"3593/2020","Pressurizado"
"3630/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3642/2020","Inibição em funções de Controle e Segurança"
"3648/2020","Pressurizado"
"3649/2020","Altura - Acesso por Cordas"
"3652/2020","Altura - Acesso por Cordas"
"3666/2020","Altura - Acesso por Cordas"
"3669/2020","Elétrico"
"3670/2020","Andaime - Pré-Montagem/Desmontagem"
"3686/2020","Uso de Marreta"
"3693/2020","Pressurizado"
"3695/2020","Altura - Acesso por Cordas"
"3713/2020","Chama Aberta"
"3718/2020","Chama Aberta"
"3719/2020","Elétrico"
"3725/2020","Andaime - Pós-Montagem/Utilização"
"3741/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"3741/2020","Uso de Marreta"
"3743/2020","Andaime - Pré-Montagem/Desmontagem"
"3759/2020","Elétrico"
"3764/2020","Chama Aberta"
"3764/2020","Altura - Acesso por Cordas"
"3766/2020","Elétrico"
"3768/2020","Tratamento Mecânico e Pintura"
"3769/2020","Pressurizado"
"3771/2020","Andaime - Pós-Montagem/Utilização"
"3781/2020","Elétrico"
"3790/2020","Pressurizado"
"3825/2020","Tratamento manual e pintura"
"3842/2020","Pressurizado"
"3855/2020","Pressurizado"
"3865/2020","Andaime - Pré-Montagem/Desmontagem"
"3876/2020","Andaime - Pós-Montagem/Utilização"
"3880/2020","Tratamento Mecânico e Pintura"
"3882/2020","Pressurizado"
"3896/2020","Pressurizado"
"3908/2020","Hidrojateamento"
"3924/2020","Risco de Perda de Produção"
"3939/2020","Chama Aberta"
"3940/2020","Andaime - Pré-Montagem/Desmontagem"
"3950/2020","Pressurizado"
"3965/2020","Pressurizado"
"3968/2020","Pressurizado"
"3982/2020","Sobre o Mar"
"3984/2020","Pressurizado"
"3986/2020","Elétrico"
"3989/2020","Andaime - Pós-Montagem/Utilização"
"3995/2020","Altura - Acesso por Cordas"
"3999/2020","Elétrico"
"4000/2020","Uso de Marreta"
"4016/2020","Chama Aberta"
"4016/2020","Andaime - Pós-Montagem/Utilização"
"4027/2020","Andaime - Pós-Montagem/Utilização"
"4036/2020","Pressurizado"
"4052/2020","Andaime - Pré-Montagem/Desmontagem"
"4070/2020","Tratamento Mecânico e Pintura"
"4080/2020","Intervenção Automação - PLC"
"4085/2020","Andaime - Pós-Montagem/Utilização"
"4099/2020","Pressurizado"
"4113/2020","Andaime - Pré-Montagem/Desmontagem"
"4114/2020","Hidrojateamento"
"4115/2020","Andaime - Pré-Montagem/Desmontagem"
"4123/2020","Elétrico"
"4137/2020","Tratamento Mecânico e Pintura"
"4138/2020","Chama Aberta"
"4146/2020","Andaime - Pós-Montagem/Utilização"
"4148/2020","Andaime - Pós-Montagem/Utilização"
"4157/2020","Andaime - Pré-Montagem/Desmontagem"
"4172/2020","Intervenção Automação - PLC"
"4176/2020","Tratamento Mecânico e Pintura"
"4178/2020","Pressurizado"
"4190/2020","Andaime - Pós-Montagem/Utilização"
"4199/2020","Andaime - Pré-Montagem/Desmontagem"
"4230/2020","Andaime - Pós-Montagem/Utilização"
"4249/2020","Serviço Crítico"
"4260/2020","Tratamento Mecânico e Pintura"
"4260/2020","Tratamento manual e pintura"
"4265/2020","Altura - Acesso por Cordas"
"4286/2020","Espaço Confinado"
"4294/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4295/2020","Pressurizado"
"4297/2020","Pressurizado"
"4302/2020","Chama Aberta"
"4347/2020","Hidrojateamento"
"4350/2020","Andaime - Pré-Montagem/Desmontagem"
"4363/2020","Elétrico"
"4369/2020","Elétrico"
"4384/2020","Hidrojateamento"
"4387/2020","Chama Aberta"
"4389/2020","Serviço Crítico"
"4414/2020","Altura - Acesso por Cordas"
"4423/2020","Andaime - Pré-Montagem/Desmontagem"
"4426/2020","Pressurizado"
"4428/2020","Chama Aberta"
"4430/2020","Altura - Acesso por Cordas"
"4438/2020","Andaime - Pré-Montagem/Desmontagem"
"4463/2020","Tratamento Mecânico e Pintura"
"4468/2020","Uso de Marreta"
"4473/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4489/2020","Intervenção Automação - PLC"
"4496/2020","Pressurizado"
"4501/2020","Altura - Acesso por Cordas"
"4503/2020","Chama Aberta"
"4513/2020","Altura - Acesso por Cordas"
"4536/2020","Elétrico"
"4547/2020","Andaime - Pós-Montagem/Utilização"
"4551/2020","Andaime - Pós-Montagem/Utilização"
"4562/2020","Pressurizado"
"4564/2020","Serviço Crítico"
"4564/2020","Risco de Perda de Produção"
"4565/2020","Pressurizado"
"4577/2020","Pressurizado"
"4582/2020","Andaime - Pós-Montagem/Utilização"
"4583/2020","Andaime - Pós-Montagem/Utilização"
"4586/2020","Hidrojateamento"
"4603/2020","Andaime - Pós-Montagem/Utilização"
"4619/2020","Hidrojateamento"
"4625/2020","Chama Aberta"
"4654/2020","Pressurizado"
"4662/2020","Pressurizado"
"4663/2020","Andaime - Pré-Montagem/Desmontagem"
"4676/2020","Andaime - Pós-Montagem/Utilização"
"4684/2020","Pressurizado"
"4699/2020","Uso de Marreta"
"4704/2020","Parafusadeira e Torqueadeira"
"4736/2020","Andaime - Pós-Montagem/Utilização"
"4757/2020","Andaime - Pós-Montagem/Utilização"
"4772/2020","Altura - Acesso por Cordas"
"4794/2020","Chama Aberta"
"4800/2020","Andaime - Pré-Montagem/Desmontagem"
"4821/2020","Andaime - Pós-Montagem/Utilização"
"4821/2020","Uso de Marreta"
"4830/2020","Inibição em funções de Controle e Segurança"
"4846/2020","Uso de Marreta"
"4847/2020","Chama Aberta"
"4852/2020","Espaço Confinado"
"4857/2020","Andaime - Pós-Montagem/Utilização"
"4861/2020","Altura - Acesso por Cordas"
"4867/2020","Pressurizado"
"4872/2020","Andaime - Pós-Montagem/Utilização"
"4889/2020","Altura - Acesso por Cordas"
"4900/2020","Elétrico"
"4913/2020","Chama Aberta"
"4914/2020","Hidrojateamento"
"4918/2020","Uso de Marreta"
"4919/2020","Pressurizado"
"4932/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4933/2020","Altura - Acesso por Cordas"
"4940/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4948/2020","Risco de Perda de Produção"
"4959/2020","Andaime - Pré-Montagem/Desmontagem"
"4973/2020","Andaime - Pós-Montagem/Utilização"
"4980/2020","Pressurizado"
"4982/2020","Intervenção Automação - PLC"
"4991/2020","Elétrico"
"4991/2020","Altura - Acesso por Cordas"
"4993/2020","Elétrico"
"4993/2020","Altura - Acesso por Cordas"
"4995/2020","Espaço Confinado"
"5004/2020","Chama Aberta"
"5011/2020","Intervenção Automação - PLC"
"5013/2020","Andaime - Pré-Montagem/Desmontagem"
"5030/2020","Pressurizado"
"5043/2020","Pressurizado"
"5044/2020","Andaime - Pós-Montagem/Utilização"
"5048/2020","Elétrico"
"5052/2020","Andaime - Pré-Montagem/Desmontagem"
"5056/2020","Intervenção Automação - PLC"
"5058/2020","Chama Aberta"
"5078/2020","Intervenção Automação - PLC"
"5094/2020","Tratamento Mecânico e Pintura"
"5105/2020","Andaime - Pré-Montagem/Desmontagem"
"5120/2020","Pressurizado"
"5135/2020","Serviço Crítico"
"5136/2020","Pressurizado"
"5145/2020","Altura - Acesso por Cordas"
"5148/2020","Uso de Marreta"
"5148/2020","Parafusadeira e Torqueadeira"
"5153/2020","Tratamento Mecânico e Pintura"
"5163/2020","Chama Aberta"
"5180/2020","Chama Aberta"
"5181/2020","Serviço Crítico"
"5183/2020","Pressurizado"
"5199/2020","Inibição em funções de Controle e Segurança"
"5200/2020","Espaço Confinado"
"5206/2020","Pressurizado"
"5207/2020","Pressurizado"
"5226/2020","Elétrico"
"5237/2020","Uso de Marreta"
"5247/2020","Andaime - Pré-Montagem/Desmontagem"
"5254/2020","Elétrico"
"5259/2020","Andaime - Pós-Montagem/Utilização"
"5263/2020","Risco de Perda de Produção"
"5275/2020","Chama Aberta"
"5280/2020","Andaime - Pós-Montagem/Utilização"
"5289/2020","Espaço Confinado"
"5306/2020","Andaime - Pré-Montagem/Desmontagem"
"5310/2020","Pressurizado"
"5334/2020","Altura - Acesso por Cordas"
"5369/2020","Parafusadeira e Torqueadeira"
"5370/2020","Andaime - Pré-Montagem/Desmontagem"
"5384/2020","Pressurizado"
"5392/2020","Tratamento Mecânico e Pintura"
"5398/2020","Andaime - Pós-Montagem/Utilização"
"5400/2020","Risco de Perda de Produção"
"5418/2020","Chama Aberta"
"5418/2020","Altura - Acesso por Cordas"
"5419/2020","Pressurizado"
"5427/2020","Andaime - Pré-Montagem/Desmontagem"
"5445/2020","Liberação de Tanques de Carga, Lastro e Slop"
"5497/2020","Andaime - Pré-Montagem/Desmontagem"
"5509/2020","Andaime - Pré-Montagem/Desmontagem"
"5517/2020","Chama Aberta"
"5519/2020","Altura - Acesso por Cordas"
"5520/2020","Tratamento Mecânico e Pintura"
"5521/2020","Andaime - Pós-Montagem/Utilização"
"5525/2020","Tratamento Mecânico e Pintura"
"5591/2020","Pressurizado"
"5592/2020","Parafusadeira e Torqueadeira"
"5593/2020","Inibição em funções de Controle e Segurança"
"5601/2020","Altura - Acesso por Cordas"
"5611/2020","Andaime - Pré-Montagem/Desmontagem"
"5624/2020","Andaime - Pré-Montagem/Desmontagem"
"5630/2020","Espaço Confinado"
"5630/2020","Chama Aberta"
"5648/2020","Andaime - Pré-Montagem/Desmontagem"
"5655/2020","Andaime - Pré-Montagem/Desmontagem"
"5664/2020","Pressurizado"
"5674/2020","Andaime - Pré-Montagem/Desmontagem"
"5686/2020","Serviço Crítico"
"5688/2020","Altura - Acesso por Cordas"
"5698/2020","Andaime - Pós-Montagem/Utilização"
"5703/2020","Andaime - Pré-Montagem/Desmontagem"
"5709/2020","Altura - Acesso por Cordas"
"5726/2020","Andaime - Pós-Montagem/Utilização"
"5729/2020","Altura - Acesso por Cordas"
"5736/2020","Andaime - Pré-Montagem/Desmontagem"
"5747/2020","Andaime - Pré-Montagem/Desmontagem"
"5753/2020","Pressurizado"
"5773/2020","Tratamento manual e pintura"
"5775/2020","Pressurizado"
"5777/2020","Andaime - Pós-Montagem/Utilização"
"5781/2020","Andaime - Pós-Montagem/Utilização"
"5789/2020","Tratamento manual e pintura"
"5790/2020","Risco de Perda de Produção"
"5821/2020","Altura - Acesso por Cordas"
"5832/2020","Pressurizado"
"5853/2020","Serviço Crítico"
"5871/2020","Andaime - Pré-Montagem/Desmontagem"
"5880/2020","Elétrico"
"5882/2020","Pressurizado"
"5892/2020","Pressurizado"
"5893/2020","Elétrico"
"5935/2020","Esmerilhadeira e Lixadeira"
"5984/2020","Tratamento Mecânico e Pintura"
"5989/2020","Elétrico"
"5990/2020","Andaime - Pós-Montagem/Utilização"
"6008/2020","Pressurizado"
"6015/2020","Andaime - Pós-Montagem/Utilização"
"6020/2020","Parafusadeira e Torqueadeira"
"6021/2020","Pressurizado"
"6031/2020","Pressurizado"
"6060/2020","Risco de Perda de Produção"
