"NUMEROPT","CARACTERISTICA"
"5012/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"5020/2020","Andaime - Pós-Montagem/Utilização"
"5021/2020","Andaime - Pós-Montagem/Utilização"
"5023/2020","Uso de Marreta"
"5040/2020","Elétrico"
"5042/2020","Pressurizado"
"5046/2020","Chama Aberta"
"5051/2020","Andaime - Pós-Montagem/Utilização"
"5069/2020","Elétrico"
"5084/2020","Elétrico"
"5093/2020","Tratamento Mecânico e Pintura"
"5112/2020","Elétrico"
"5121/2020","Intervenção Automação - PLC"
"5123/2020","Andaime - Pré-Montagem/Desmontagem"
"5128/2020","Pressurizado"
"5135/2020","Inibição em funções de Controle e Segurança"
"5159/2020","Andaime - Pós-Montagem/Utilização"
"5159/2020","Uso de Marreta"
"5179/2020","Chama Aberta"
"5180/2020","Uso de Marreta"
"5181/2020","Chama Aberta"
"5198/2020","Pressurizado"
"5199/2020","Risco de Perda de Produção"
"5209/2020","Chama Aberta"
"5219/2020","Risco de Perda de Produção"
"5238/2020","Andaime - Pós-Montagem/Utilização"
"5239/2020","Chama Aberta"
"5242/2020","Chama Aberta"
"5270/2020","Andaime - Pré-Montagem/Desmontagem"
"5279/2020","Hidrojateamento"
"5284/2020","Serviço Crítico"
"5289/2020","Acesso e trabalho em casas de bombas"
"5293/2020","Intervenção Automação - PLC"
"5300/2020","Andaime - Pós-Montagem/Utilização"
"5302/2020","Andaime - Pré-Montagem/Desmontagem"
"5315/2020","Elétrico"
"5316/2020","Elétrico"
"5339/2020","Altura - Acesso por Cordas"
"5358/2020","Andaime - Pós-Montagem/Utilização"
"5359/2020","Elétrico"
"5388/2020","Intervenção Automação - PLC"
"5397/2020","Andaime - Pós-Montagem/Utilização"
"5434/2020","Pressurizado"
"5443/2020","Pressurizado"
"5444/2020","Pressurizado"
"5445/2020","Gás Inflamável"
"5453/2020","Tratamento Mecânico e Pintura"
"5457/2020","Andaime - Pré-Montagem/Desmontagem"
"5468/2020","Andaime - Pré-Montagem/Desmontagem"
"5474/2020","Andaime - Pré-Montagem/Desmontagem"
"5478/2020","Pressurizado"
"5482/2020","Altura - Acesso por Cordas"
"5488/2020","Andaime - Pós-Montagem/Utilização"
"5492/2020","Andaime - Pré-Montagem/Desmontagem"
"5510/2020","Andaime - Pré-Montagem/Desmontagem"
"5511/2020","Intervenção Automação - PLC"
"5517/2020","Espaço Confinado"
"5530/2020","Tratamento manual e pintura"
"5533/2020","Chama Aberta"
